barcode,barcode_out,item_name,brand,category,current_quantity,minimum_stock,storage_location,expiration_date,notes
S09-S1-001,S09-S1-001-OUT,Asian Food,,Section 9,0,0,"Section 9, Shelf 1",,
S07-S1-001,S07-S1-001-OUT,BOX mac & cheese,,Section 7,0,0,"Section 7, Shelf 1",,
S13-S3-001,S13-S3-001-OUT,Baked goods,,Section 13,0,0,"Section 13, Shelf 3",,
S06-S1-002,S06-S1-002-OUT,Baking powder,,Section 6,0,0,"Section 6, Shelf 1",,
S06-S1-001,S06-S1-001-OUT,Baking soda,,Section 6,0,0,"Section 6, Shelf 1",,
S03-S3-001,S03-S3-001-OUT,Beans,,Section 3,0,0,"Section 3, Shelf 3",,
S19-S2-001,S19-S2-001-OUT,Beans canned,,Section 19,0,0,"Section 19, Shelf 2",,
S24-S2-001,S24-S2-001-OUT,Beef ramen,,Section 24,0,0,"Section 24, Shelf 2",,
S07-S3-002,S07-S3-002-OUT,Beef ramen noodles,,Section 7,0,0,"Section 7, Shelf 3",,
S03-S3-002,S03-S3-002-OUT,Black beans,,Section 3,0,0,"Section 3, Shelf 3",,
S19-S2-002,S19-S2-002-OUT,Black beans canned,,Section 19,0,0,"Section 19, Shelf 2",,
S22-S3-002,S22-S3-002-OUT,Black beans dry,,Section 22,0,0,"Section 22, Shelf 3",,
S09-S3-002,S09-S3-002-OUT,Black eyed peas (dry),,Section 9,0,0,"Section 9, Shelf 3",,
S22-S1-003,S22-S1-003-OUT,Breakfast drinks,,Section 22,0,0,"Section 22, Shelf 1",,
S13-S1-001,S13-S1-001-OUT,Breakfast drinks,,Section 13,0,0,"Section 13, Shelf 1",,
S05-S1-001,S05-S1-001-OUT,Can Fish,,Section 5,0,0,"Section 5, Shelf 1",,
S19-S4-003,S19-S4-003-OUT,Can Fish,,Section 19,0,0,"Section 19, Shelf 4",,
S19-S4-002,S19-S4-002-OUT,Can fish,,Section 19,0,0,"Section 19, Shelf 4",,
S20-S4-001,S20-S4-001-OUT,Can meat,,Section 20,0,0,"Section 20, Shelf 4",,
S21-S1-003,S21-S1-003-OUT,Carrots,,Section 21,0,0,"Section 21, Shelf 1",,
S24-S1-001,S24-S1-001-OUT,Chicken ramen,,Section 24,0,0,"Section 24, Shelf 1",,
S22-S3-004,S22-S3-004-OUT,Chickpeas dry,,Section 22,0,0,"Section 22, Shelf 3",,
S20-S2-004,S20-S2-004-OUT,Chili,,Section 20,0,0,"Section 20, Shelf 2",,
S20-S2-002,S20-S2-002-OUT,Cream corn,,Section 20,0,0,"Section 20, Shelf 2",,
S20-S3-001,S20-S3-001-OUT,Cut green beans,,Section 20,0,0,"Section 20, Shelf 3",,
S11-S1-001,S11-S1-001-OUT,Desserts,,Section 11,0,0,"Section 11, Shelf 1",,
S21-S3-001,S21-S3-001-OUT,Diapers,,Section 21,0,0,"Section 21, Shelf 3",,
S04-S2-003,S04-S2-003-OUT,FRUIT,,Section 4,0,0,"Section 4, Shelf 2",,
S05-S3-002,S05-S3-002-OUT,Flour,,Section 5,0,0,"Section 5, Shelf 3",,
S20-S4-002,S20-S4-002-OUT,French green beans,,Section 20,0,0,"Section 20, Shelf 4",,
S02-S1-001,S02-S1-001-OUT,French green beans,,Section 2,0,0,"Section 2, Shelf 1",,
S19-S3-001,S19-S3-001-OUT,Fruits,,Section 19,0,0,"Section 19, Shelf 3",,
S09-S3-003,S09-S3-003-OUT,Garbanzo / chickpeas (dry),,Section 9,0,0,"Section 9, Shelf 3",,
S12-S3-001,S12-S3-001-OUT,Grits,,Section 12,0,0,"Section 12, Shelf 3",,
S19-S1-001,S19-S1-001-OUT,Hams,,Section 19,0,0,"Section 19, Shelf 1",,
S03-S2-001,S03-S2-001-OUT,Hominy,,Section 3,0,0,"Section 3, Shelf 2",,
S09-S2-002,S09-S2-002-OUT,Lentils (dry),,Section 9,0,0,"Section 9, Shelf 2",,
S22-S3-005,S22-S3-005-OUT,Lentils dry,,Section 22,0,0,"Section 22, Shelf 3",,
S03-S2-003,S03-S2-003-OUT,Lima beans,,Section 3,0,0,"Section 3, Shelf 2",,
S08-S1-001,S08-S1-001-OUT,MISC ramen noodles,,Section 8,0,0,"Section 8, Shelf 1",,
S07-S2-003,S07-S2-003-OUT,MISC. Box meals,,Section 7,0,0,"Section 7, Shelf 2",,
S22-S1-004,S22-S1-004-OUT,Mac & cheese,,Section 22,0,0,"Section 22, Shelf 1",,
S09-S1-002,S09-S1-002-OUT,Mexican Food,,Section 9,0,0,"Section 9, Shelf 1",,
S19-S1-003,S19-S1-003-OUT,Misc Vegetables,,Section 19,0,0,"Section 19, Shelf 1",,
S19-S1-002,S19-S1-002-OUT,Misc vegetables,,Section 19,0,0,"Section 19, Shelf 1",,
S21-S4-001,S21-S4-001-OUT,Misc. Hygiene,,Section 21,0,0,"Section 21, Shelf 4",,
S23-S1-001,S23-S1-001-OUT,Misc. Products,,Section 23,0,0,"Section 23, Shelf 1",,
S24-S2-002,S24-S2-002-OUT,Misc. Ramen,,Section 24,0,0,"Section 24, Shelf 2",,
S22-S2-003,S22-S2-003-OUT,Mixed box meals,,Section 22,0,0,"Section 22, Shelf 2",,
S22-S3-001,S22-S3-001-OUT,Northern beans dry,,Section 22,0,0,"Section 22, Shelf 3",,
S21-S1-002,S21-S1-002-OUT,Oatmeal,,Section 21,0,0,"Section 21, Shelf 1",,
S12-S3-002,S12-S3-002-OUT,Oatmeal,,Section 12,0,0,"Section 12, Shelf 3",,
S22-S2-001,S22-S2-001-OUT,Pasta,,Section 22,0,0,"Section 22, Shelf 2",,
S22-S1-002,S22-S1-002-OUT,Peanut butter,,Section 22,0,0,"Section 22, Shelf 1",,
S20-S2-001,S20-S2-001-OUT,Peas,,Section 20,0,0,"Section 20, Shelf 2",,
S22-S1-005,S22-S1-005-OUT,Pinto beans dry,,Section 22,0,0,"Section 22, Shelf 1",,
S22-S2-002,S22-S2-002-OUT,Potatoes,,Section 22,0,0,"Section 22, Shelf 2",,
S03-S3-003,S03-S3-003-OUT,Potatoes,,Section 3,0,0,"Section 3, Shelf 3",,
S08-S2-001,S08-S2-001-OUT,RICE,,Section 8,0,0,"Section 8, Shelf 2",,
S22-S1-001,S22-S1-001-OUT,Ravioli / Spaghetti,,Section 22,0,0,"Section 22, Shelf 1",,
S04-S3-001,S04-S3-001-OUT,Ravioli / Spaghetti,,Section 4,0,0,"Section 4, Shelf 3",,
S09-S3-001,S09-S3-001-OUT,Red Kidney beans (dry),,Section 9,0,0,"Section 9, Shelf 3",,
S22-S3-003,S22-S3-003-OUT,Red kidney beans dry,,Section 22,0,0,"Section 22, Shelf 3",,
S21-S2-002,S21-S2-002-OUT,Refried beans can,,Section 21,0,0,"Section 21, Shelf 2",,
S21-S2-001,S21-S2-001-OUT,Rice,,Section 21,0,0,"Section 21, Shelf 2",,
S23-S2-001,S23-S2-001-OUT,Snacks,,Section 23,0,0,"Section 23, Shelf 2",,
S20-S2-003,S20-S2-003-OUT,Soup,,Section 20,0,0,"Section 20, Shelf 2",,
S21-S1-001,S21-S1-001-OUT,Stuffing / Mashed potatoes,,Section 21,0,0,"Section 21, Shelf 1",,
S05-S3-003,S05-S3-003-OUT,Sugar,,Section 5,0,0,"Section 5, Shelf 3",,
S13-S2-002,S13-S2-002-OUT,Sweet baked Goods,,Section 13,0,0,"Section 13, Shelf 2",,
S13-S2-001,S13-S2-001-OUT,Sweet baked goods,,Section 13,0,0,"Section 13, Shelf 2",,
S20-S1-002,S20-S1-002-OUT,Sweet corn,,Section 20,0,0,"Section 20, Shelf 1",,
S19-S4-001,S19-S4-001-OUT,Tomatoes,,Section 19,0,0,"Section 19, Shelf 4",,
S07-S2-002,S07-S2-002-OUT,Tuna helper,,Section 7,0,0,"Section 7, Shelf 2",,
S13-S1-002,S13-S1-002-OUT,Waffle / Pancake mix,,Section 13,0,0,"Section 13, Shelf 1",,
S20-S1-001,S20-S1-001-OUT,Whole corn,,Section 20,0,0,"Section 20, Shelf 1",,
S12-S2-001,S12-S2-001-OUT,bag cereal,,Section 12,0,0,"Section 12, Shelf 2",,
